Part Number,Current Noise Density (typ),Analog.com Inventory,# of Amps,GBP (typ),BW -3 dB (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Rail to Rail,Iq/Amp (typ),Vs span (min),Vs span (max),1ku List Price,Package Area,Package
AD8634,0.0000000000006,4,2,9700000,11000000,5,0.00025,0.0000000042,0.0000002,Output,0.0011,3,30,,31,CHIPS OR DIE 8-Lead Flatpack 8-Lead SOIC
ADA4661-2,0.00000000000036,136,2,4000000,2100000,2.2,0.00015,0.000000018,0.000000000015,Both,0.00063,3,18,2.295,9,CHIPS OR DIE 8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead MSOP
ADA4666-2,0.00000000000036,165,2,4000000,2100000,2,0.0022,0.000000018,0.000000000015,Both,0.00063,3,18,1.71,9,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead MSOP
LT6015,0.0000000000001,3128,1,3200000,,0.75,0.00005,0.000000018,0.000000005,Both,0.000315,3,50,2.775,8.12,5-Lead TSOT-23
LTC2057,0.00000000000017,634,1,1500000,,1.2,0.000004,0.000000011,0.0000000002,In to V- Output,0.0008,4.75,36,2.1,9,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP 10-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LTC2057HV,0.00000000000017,634,1,1500000,,1.2,0.000004,0.000000011,0.0000000002,In to V- Output,0.0008,4.75,60,2.1,9,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead MSOP 10-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
MAX44245,0.0000000000001,1717,4,,1000000,0.7,0.0000075,0.00000005,0.0000000003,Output Only,0.00009,2.7,36,4.73,33.405,14-SOIC_N-150_MIL Thin Shrink Small-Outline Package
ADA4096-2S,0.0000000000002,,2,783000,,,0.0003,0.000000027,0.000000025,Both,,3,30,,,CER. FLATPACK WITH LEADS
LT6016,0.0000000000001,1009,2,3200000,,0.75,0.00005,0.000000018,0.000000005,Both,0.000315,3,50,4.41,14.7,8-Lead MSOP
LT6017,0.0000000000001,198,4,3200000,,0.75,0.00005,0.000000018,0.000000005,Both,0.000315,3,50,7.005,18,22-Lead DFN (6mm x 3mm w/ EP)
LT6236,0.000000000001,910,1,215000000,,60,0.0005,0.0000000011,0.00001,Output,0.00315,3,12.6,2.25,8.12,6-Lead TSOT-23
LT6237,0.000000000001,5,2,215000000,,60,0.00035,0.0000000011,0.00001,Output,0.00315,3,12.6,3.54,9,8-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LTC6090,0.000000000000001,145,1,12000000,,24,0.001,0.000000014,0.000000000003,Output,0.0027,9.5,140,6.18,31.00979,16-Lead TSSOP w/ EP 8-Lead SOIC (Narrow 0.15 Inch w/ EP)
LTC6090-5,0.000000000000001,145,1,24000000,,37,0.001,0.000000014,0.000000000003,Output,0.0027,9.5,140,6.18,31.00979,16-Lead TSSOP w/ EP 8-Lead SOIC (Narrow 0.15 Inch w/ EP)
ADA4895-1,0.0000000000016,2039,1,1500000000,236000000,943,0.00035,0.000000001,0.000016,Output,0.003,3,10,3.51,9,8-Lead SOIC 6-Lead SOT-23
MAX44281,0.0000000000000012,84779,1,,15000000,8,0.0001,0.000000019,0.000000002,Output Only,0.0007,1.7,5.5,0.98,,EVALUATION BOARDS N/A
ADA4077-2,0.0000000000002,163,2,3900000,,1,0.000025,0.000000007,0.000000001,,0.0004,5,30,3.06,31,8-Lead SOIC 8-Lead MSOP
ADA4312-1,,0,2,,195000000,2100,0.0012,0.000000057,0.000175,,0.046,12,12,,16,16-Lead LFCSP (4mm x 4mm)
ADA4500-2,0.0000000000000005,102,2,10000000,19200000,5.5,0.00012,0.0000000145,0.000000000001,Both,0.00155,2.7,5.5,1.995,9,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead MSOP
ADA4895-2,0.0000000000016,1061,2,1500000000,236000000,943,0.00035,0.000000001,0.000016,Output,0.003,3,10,6.24,15.965,10-Lead MSOP
MAX44246,,200,2,,5000000,3.8,0.000005,0.000000009,0.0000000006,Output Only,0.00042,2.7,36,2.04,15.593,"EVALUATION BOARDS Small-Outline IC, Narrow (0.15in) Micro-MAX, Thin Shrink Small-Outline"
MAX44248,0.0000000000001,,2,,1000000,0.7,0.0000075,0.00000005,0.0000000003,Output Only,0.00009,2.7,36,1.93,15.593,"EVALUATION BOARDS Small-Outline IC, Narrow (0.15in) Micro-MAX, Thin Shrink Small-Outline"
MAX44250,0.0000000000006,59123,1,,10000000,8,0.000009,0.0000000059,0.0000000014,Output Only,0.00122,2.7,20,1.28,9,"EVALUATION BOARDS 5-SOT_23-N/A Micro-MAX, Thin Shrink Small-Outline"
MAX44263,0.0000000000000012,1305,2,,15000000,7,0.00005,0.0000000127,0.0000000000005,Both,0.00065,1.7,5.5,1.4,5.28,EVALUATION BOARDS Single Chip Package
AD8659,0.0000000000001,48,4,230000,305000,0.08,0.00035,0.000000045,0.00000000002,Both,0.000022,2.7,18,2.595,16,16-Lead LFCSP (4mm x 4mm w/ EP) 14-Lead SOIC
ADA4096-4,0.0000000000002,1118,4,786000,1520000,0.4,0.0003,0.000000027,0.000000025,Both,0.00006,3,30,4.995,9,16-Lead LFCSP (3mm x 3mm w/ EP) 14-Lead TSSOP
ADA4528-2,0.0000000000005,19441,2,3400000,6500000,0.5,0.0000025,0.0000000059,0.00000000025,Both,0.0014,2.2,5.5,2.955,9,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead MSOP
ADA4001-2,0.000000000000003,993,2,16700000,10300000,25,0.0015,0.0000000077,0.00000000003,Output,0.002,9,36,2.295,31,8-Lead SOIC
ADA4610-2,0.000000000000001,0,2,16300000,9500000,25,0.0004,0.0000000073,0.000000000025,Output,0.0016,10,36,2.775,9,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead SOIC 8-Lead MSOP
MAX44252,0.0000000000006,,4,,10000000,8,0.000006,0.0000000059,0.0000000013,Output Only,0.00115,2.7,20,2.97,54.25,14-SOIC_N-150_MIL
MAX44280,0.0000000000012,374,1,50000000,50000000,30,0.00005,0.0000000127,0.0000000000005,Both,0.00075,1.7,5.5,1.1,5.28,EVALUATION BOARDS Single Chip Package 6-LGA-1.5X1X0.5
ADA4084-2,0.00000000000055,5001,2,15900000,13900000,4.6,0.0001,0.0000000039,0.00000025,Both,0.000565,3,30,5.265,9,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead SOIC 8-Lead MSOP
ADA4638-1,0.0000000000001,4161,1,1500000,2500000,1.5,0.0000045,0.000000066,0.00000000009,In to V- Output,0.00085,4.5,30,2.37,9,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead SOIC
ADA4897-2,0.0000000000028,118,2,90000000,230000000,120,0.0005,0.000000001,0.000017,Output,0.003,3,10,6.24,15.965,CHIPS OR DIE 10-Lead MSOP
LTC6360,0.000000000003,3,1,1000000000,250000000,135,0.00025,0.0000000023,0.00003,In to V- Output,0.0136,4.75,5.25,3.945,9,8-Lead MSOP w/ EP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
MAX44251,0.0000000000006,,2,,10000000,8,0.000006,0.0000000059,0.0000000013,Output Only,0.00115,2.7,20,1.67,9,"EVALUATION BOARDS 8-SOT_23-N/A Micro-MAX, Thin Shrink Small-Outline"
AD823A,0.000000000000001,3812,2,10000000,19000000,35,0.0035,0.000000013,0.000000000025,In to V- Output,0.0051,3,36,4.425,31,8-Lead SOIC 8-Lead MSOP
ADA4096-2,0.0000000000002,246,2,786000,1520000,0.4,0.0003,0.000000027,0.000000025,Both,0.00006,3,30,3.45,4,8-Lead LFCSP (2mm x 2mm w/ EP) 8-Lead MSOP
ADA4896-2,0.0000000000028,6937,2,90000000,230000000,120,0.0005,0.000000001,0.000017,Output,0.003,3,10,5.97,9,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead MSOP
ADA4897-1,0.0000000000028,1219,1,90000000,230000000,120,0.0005,0.000000001,0.000017,Output,0.003,3,10,3.51,9,8-Lead SOIC 6-Lead SOT-23
MAX44260,0.0000000000000012,505,1,,15000000,7,0.00005,0.0000000127,0.0000000000005,Both,0.00075,1.7,5.5,0.85,5.28,Single Chip Package 6-LGA-1.5X1X0.5
MAX44261,0.0000000000000012,18844,1,,15000000,7,0.00005,0.0000000127,0.0000000000005,Both,0.00075,1.7,5.5,0.85,5.28,Single Chip Package
RH6200M,0.0000000000022,,1,165000000,,44,0.002,0.0000000011,0.000018,Both,0.0165,4.5,12.6,,54.1782,10-Lead Flatpak (Glass Sealed Hermetic) CHIPS OR DIE
MAX44265,0.000000000000001,165487,1,,200000,0.1,0.001,0.0000004,0.00000000001,Both,0.000004,1.8,5.5,0.59,1.3289,"Wafer-Level Package 3x2 Bump, Full Array"
AD8657,0.0000000000001,221,2,230000,305000,0.08,0.00035,0.000000045,0.00000000002,Both,0.000022,2.7,18,2.025,9,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead MSOP
ADA4528-1,0.0000000000005,16875,1,3400000,6500000,0.5,0.0000025,0.0000000059,0.0000000002,Both,0.0014,2.2,5.5,1.905,9,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead MSOP
LT1970A,0.000000000003,1939,1,3600000,,1.6,0.0006,0.000000015,,,0.007,5,36,8.955,42.24,20-Lead TSSOP w/ EP
